Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
TVS Ntorq 2026,"Rs 55,700",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Ntorq ,Moratuwa,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-241
Yamaha Ray ZR 2019,"Rs 500,000",Yamaha,Ray ZR,2019,113 cc,"35,000 km",Scooters,Used,2019,Piliyandala,https://ikman.lk/en/ad/yamaha-ray-zr-2019-for-sale-colombo-2235
Bajaj Pulsar 180 2011,"Rs 390,000",Bajaj,Pulsar 180,2011,179 cc,"48,000 km",Motorbikes,Used,Pulsar 180,Matale City,https://ikman.lk/en/ad/bajaj-pulsar-180-2011-for-sale-matale-48
Bajaj Pulsar NS200 Brand new 2026,"Rs 515,000",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Brand new 2026,Ibbagamuwa,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-8
Bajaj Pulsar NS200 Brand new 2026,"Rs 515,000",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Brand new 2026,Ibbagamuwa,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-kurunegala-9
Bajaj Pulsar 150 2005,"Rs 239,000",Bajaj,Pulsar 150,2005,150 cc,"155,000 km",Motorbikes,Used,,Kandy City,https://ikman.lk/en/ad/bajaj-pulsar-150-2005-for-sale-kandy-105
Yamaha Fascino 2019,"Rs 395,000",Yamaha,Fascino,2019,110 cc,"19,000 km",Scooters,Used,,Wattala,https://ikman.lk/en/ad/yamaha-fascino-2019-for-sale-gampaha-1
Hero Passion pro 2017,"Rs 300,000",Hero,Passion pro,2017,100 cc,"100,000 km",Motorbikes,Used,,Jaffna City,https://ikman.lk/en/ad/hero-passion-pro-2017-for-sale-jaffna-4
Bajaj Pulsar 135 2012,"Rs 275,000",Bajaj,Pulsar 135,2012,135 cc,"50,000 km",Motorbikes,Used,135,Hambantota City,https://ikman.lk/en/ad/bajaj-pulsar-135-2011-for-sale-hambantota-189
Bajaj Pulsar 135 2011,"Rs 260,000",Bajaj,Pulsar 135,2011,135 cc,"80,000 km",Motorbikes,Used,,Ratnapura City,https://ikman.lk/en/ad/bajaj-pulsar-135-2011-for-sale-ratnapura-391
Mahindra Centuro 2013,"Rs 198,000",Mahindra,Centuro,2013,110 cc,"40,000 km",Motorbikes,Used,,Mawanella,https://ikman.lk/en/ad/mahindra-centuro-2013-for-sale-kegalle
Honda PCX 125 2025,"Rs 1,860,000",Honda,PCX 125,2025,125 cc,0 km,Scooters,Brand New,2025,Kirindiwela,https://ikman.lk/en/ad/honda-pcx-125-2025-for-sale-gampaha-82
Yamaha FZ S V1 2012,"Rs 479,000",Yamaha,FZ S,2012,150 cc,"35,000 km",Motorbikes,Used,FZ V1,Mawanella,https://ikman.lk/en/ad/yamaha-fz-s-v1-2012-for-sale-kegalle
Bajaj Pulsar 150 2015,"Rs 540,000",Bajaj,Pulsar 150,2015,150 cc,"8,600 km",Motorbikes,Used,2015,Bopitiya,https://ikman.lk/en/ad/bajaj-pulsar-150-2015-for-sale-gampaha-794
Bajaj Platina 2012,"Rs 260,000",Bajaj,Platina,2012,100 cc,"65,000 km",Motorbikes,Used,Bajaj,Deniyaya,https://ikman.lk/en/ad/bajaj-platina-non-modified-2012-for-sale-matara
Bajaj CT100 2007,"Rs 250,000",Bajaj,CT100,2007,100 cc,"48,000 km",Motorbikes,Used,,Katunayake,https://ikman.lk/en/ad/bajaj-ct100-2007-for-sale-gampaha-1656
Honda PCX 125 2021,"Rs 1,450,000",Honda,PCX 125,2021,125 cc,"16,900 km",Scooters,Used,,Akurana,https://ikman.lk/en/ad/honda-pcx-125-2021-for-sale-kandy-1
Bajaj CT100 2008,"Rs 270,000",Bajaj,CT100,2008,100 cc,"162,848 km",Motorbikes,Used,Bajaj,Kelaniya,https://ikman.lk/en/ad/bajaj-ct100-ct-100-red-2008-for-sale-gampaha
Bajaj CT100 2016,"Rs 450,000",Bajaj,CT100,2016,100 cc,"100,000 km",Motorbikes,Used,,Bingiriya,https://ikman.lk/en/ad/bajaj-ct100-2016-for-sale-kurunegala-1462
Honda Dio 2014,"Rs 370,000",Honda,Dio,2014,110 cc,"14,893 km",Scooters,Used,Honda,Panadura,https://ikman.lk/en/ad/honda-dio-good-2014-for-sale-kalutara
Hero HF Deluxe 2019,"Rs 380,000",Hero,HF Deluxe,2019,110 cc,"35,000 km",Motorbikes,Used,2019,Batticaloa City,https://ikman.lk/en/ad/hero-hf-deluxe-2019-for-sale-batticaloa-200
Bajaj Pulsar 150 2015,"Rs 520,000",Bajaj,Pulsar 150,2015,150 cc,"70,000 km",Motorbikes,Used,Pulsar,Medawachchiya,https://ikman.lk/en/ad/bajaj-pulsar-150-palsar-2015-for-sale-anuradhapura
TVS Ntorq 125 2018,"Rs 570,000",TVS,Ntorq,2018,125 cc,"26,470 km",Scooters,Used,TVS Ntorq 125,Kandy City,https://ikman.lk/en/ad/tvs-ntorq-125-2018-for-sale-kandy-53
Bajaj Pulsar 180 2011,"Rs 400,000",Bajaj,Pulsar 180,2011,180 cc,"655,898 km",Motorbikes,Used,Bajaj,Kinniya,https://ikman.lk/en/ad/bajaj-pulsar-180-good-condition-2011-for-sale-trincomalee-4
Bajaj Boxer CT Deluxe 2003,"Rs 148,000",Bajaj,Boxer,2003,100 cc,"52,000 km",Motorbikes,Used,CT Deluxe,Matugama,https://ikman.lk/en/ad/bajaj-boxer-ct-deluxe-2003-for-sale-kalutara-7
TVS Ntorq 2026,"Rs 55,700",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Ntorq ,Panadura,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-kalutara-114
Honda Super Cub 1994,"Rs 165,000",Honda,Super Cub,1994,50 cc,"112,000 km",Motorbikes,Used,,Kuliyapitiya,https://ikman.lk/en/ad/honda-super-cub-1994-for-sale-kurunegala
Bajaj Pulsar 150 2012,"Rs 100,000",Bajaj,Pulsar 150,2012,150 cc,"79,000 km",Motorbikes,Used,,Gampola,https://ikman.lk/en/ad/bajaj-pulsar-150-2012-for-sale-kandy-774
Bajaj Discover 125 2016,"Rs 378,000",Bajaj,Discover 125,2016,125 cc,"57,600 km",Motorbikes,Used,,Colombo 8,https://ikman.lk/en/ad/bajaj-discover-125-2016-for-sale-colombo-683
Honda Dream Yuga 2012,"Rs 380,000",Honda,Dream Yuga,2012,110 cc,"10,439 km",Motorbikes,Used,2012,Kandana,https://ikman.lk/en/ad/honda-dream-yuga-110-cc-2012-for-sale-gampaha
Hero Xoom Combat Brand New 2026,"Rs 215,970",Hero,Xoom Combat,2026,110 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-combat-brand-new-2026-for-sale-colombo
Honda Activa 110 2013,"Rs 287,000",Honda,Activa,2013,110 cc,"41,277 km",Scooters,Used,110,Ja-Ela,https://ikman.lk/en/ad/honda-activa-110-2013-for-sale-gampaha-7
Hero Xtreme 125R Brand new 2025,"Rs 233,000",Hero,Xtreme 125R,2025,125 cc,0 km,Motorbikes,Brand New,Brand new,Hanwella,https://ikman.lk/en/ad/hero-xtreme-125r-brand-new-2025-for-sale-colombo-38
Bajaj Discover 125 2010,"Rs 270,000",Bajaj,Discover 125,2010,150 cc,"67,079 km",Motorbikes,Used,,Chavakachcheri,https://ikman.lk/en/ad/bajaj-discover-125-2010-for-sale-jaffna
Hero Hunk 160R Brand new 2025,"Rs 273,000",Hero,Hunk 160R,2025,160 cc,0 km,Motorbikes,Brand New,Brand new,Hanwella,https://ikman.lk/en/ad/hero-hunk-160r-brand-new-2025-for-sale-colombo-50
Hero Xoom 110 Brand New 2026,"Rs 209,700",Hero,Xoom 110,2026,110 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-110-brand-new-2026-for-sale-colombo-6
Bajaj XCD 125 2009,"Rs 180,000",Bajaj,XCD,2009,125 cc,"50,000 km",Motorbikes,Used,125,Kandy City,https://ikman.lk/en/ad/bajaj-xcd-125-2009-for-sale-kandy-54
Bajaj Pulsar 180 2008,"Rs 220,000",Bajaj,Pulsar 180,2008,180 cc,"51,542 km",Motorbikes,Used,180,Negombo,https://ikman.lk/en/ad/bajaj-pulsar-180-palsar-180cc-2008-for-sale-gampaha
TVS Scooty Zest 2016,"Rs 345,000",TVS,Scooty Zest,2016,110 cc,"104,000 km",Scooters,Used,2016,Minuwangoda,https://ikman.lk/en/ad/tvs-scooty-zest-1st-owner-2016-for-sale-gampaha
Hero Dash 2017,"Rs 235,000",Hero,Dash,2017,110 cc,"25,000 km",Scooters,Used,2017,Delgoda,https://ikman.lk/en/ad/hero-dash-vx-2017-for-sale-gampaha-11
Yamaha FZ V1 2012,"Rs 515,000",Yamaha,FZ,2012,153 cc,"56,000 km",Motorbikes,Used,V1,Gampola,https://ikman.lk/en/ad/yamaha-fz-version1-2012-for-sale-kandy
Hero XOOM 125R Brand New 2026,"Rs 248,970",Hero,XOOM 125R,2026,125 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-125r-brand-new-2026-for-sale-colombo-6
Hero Hunk 160R Brand New 2026,"Rs 272,970",Hero,Hunk 160R,2026,160 cc,0 km,Motorbikes,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-hunk-160r-brand-new-2026-for-sale-colombo-4
Hero Xtreme 125R ABS Efi 2026,"Rs 233,070",Hero,Xtreme 125R,2026,125 cc,0 km,Motorbikes,Brand New,ABS Efi,Angoda,https://ikman.lk/en/ad/hero-xtreme-125r-abs-efi-2026-for-sale-colombo-1
Bajaj Pulsar NS200 brand new 2025,"Rs 515,000",Bajaj,Pulsar NS200,2025,200 cc,0 km,Motorbikes,Brand New,bajaj brand new,Nawala,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2025-for-sale-colombo-227
Bajaj Pulsar N125 2025,"Rs 322,500",Bajaj,Pulsar N125,2025,125 cc,0 km,Motorbikes,Brand New,,Negombo,https://ikman.lk/en/ad/bajaj-pulsar-n125-2025-for-sale-gampaha-305
Bajaj Pulsar NS200 brand new 2025,"Rs 515,000",Bajaj,Pulsar NS200,2025,200 cc,0 km,Motorbikes,Brand New,brand new bajaj,Colombo 9,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2025-for-sale-colombo-226
Bajaj Pulsar N160 brand new premium 2025,"Rs 463,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new premium ,Wellampitiya,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-premium-2025-for-sale-colombo-61
Bajaj Pulsar N160 premium brand new 2025,"Rs 458,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,premium brand new,Wellampitiya,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-brand-new-2025-for-sale-colombo-4
Bajaj Pulsar N160 brand new 2025,"Rs 408,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new bajaj,Kotte,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-512
Bajaj Pulsar N160 brand new 2025,"Rs 413,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new bajaj,Colombo 3,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-511
Bajaj CT100 Brand New Blue 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,CT100 Brand New Blue,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Padukka,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-136
Bajaj Discover 125 Brand New 2025,"Rs 252,110",Bajaj,Discover 125,2025,125 cc,0 km,Motorbikes,Brand New,Brand New,Moratuwa,https://ikman.lk/en/ad/bajaj-discover-125-brand-new-2025-for-sale-colombo-1076
Bajaj Pulsar 135 2015,"Rs 340,000",Bajaj,Pulsar 135,2015,135 cc,"67,000 km",Motorbikes,Used,pulsar 135,Panadura,https://ikman.lk/en/ad/bajaj-pulsar-135-2015-for-sale-kalutara-473
Yadea T5 2025,"Rs 350,000",Yadea,T5,2025,100 cc,"5,170 km",E-bikes,Used,,Beliatta,https://ikman.lk/en/ad/yadea-t5-2025-for-sale-hambantota-10
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Maharagama,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-137
Bajaj Pulsar N160 USD 2025,"Rs 416,110",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,USD,Moratuwa,https://ikman.lk/en/ad/bajaj-pulsar-n160-usd-2025-for-sale-colombo-28
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Hanwella,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-135
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Godagama,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-134
Bajaj Pulsar N160 USD 2025,"Rs 416,110",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,USD,Moratuwa,https://ikman.lk/en/ad/bajaj-pulsar-n160-usd-2025-for-sale-colombo-29
Bajaj Pulsar NS200 EFI 2025,"Rs 490,110",Bajaj,Pulsar NS200,2025,200 cc,0 km,Motorbikes,Brand New,EFI,Moratuwa,https://ikman.lk/en/ad/bajaj-pulsar-ns200-efi-2025-for-sale-colombo-6
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Kottawa,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-133
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Meegoda,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-131
Yamaha Ray ZR 2026,"Rs 270,000",Yamaha,Ray ZR,2026,125 cc,0 km,Scooters,Brand New,,Wattala,https://ikman.lk/en/ad/yamaha-ray-zr-2026-for-sale-gampaha-25
Bajaj Pulsar N160 Brand New 2025,"Rs 370,110",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,Brand New,Moratuwa,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-509
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Homagama,https://ikman.lk/en/ad/tvs-sport-2025-for-sale-colombo-132
TVS Sport 110 2026,"Rs 185,000",TVS,Sport,2026,125 cc,0 km,Motorbikes,Brand New,110,Maharagama,https://ikman.lk/en/ad/tvs-sport-2026-for-sale-colombo-84
Bajaj Pulsar N160 Brand New 2025,"Rs 370,110",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Used,Brand New,Moratuwa,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-510
Bajaj CT100 Brand New 2025,"Rs 185,610",Bajaj,CT100,2025,100 cc,0 km,Motorbikes,Brand New,Brand New,Moratuwa,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2025-for-sale-colombo-2076
Bajaj CT100 Brand New 2025,"Rs 185,610",Bajaj,CT100,2025,100 cc,0 km,Motorbikes,Brand New,Brand New,Moratuwa,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2025-for-sale-colombo-2077
Bajaj Discover 125 2025,"Rs 325,975",Bajaj,Discover 125,2025,125 cc,0 km,Motorbikes,Brand New,,Negombo,https://ikman.lk/en/ad/bajaj-discover-125-2025-for-sale-gampaha-238
Honda Twister 2015,"Rs 195,000",Honda,Twister,2015,110 cc,"39,000 km",Motorbikes,Used,,Piliyandala,https://ikman.lk/en/ad/honda-twister-2015-for-sale-colombo-135
Bajaj Pulsar 150 2012,"Rs 435,000",Bajaj,Pulsar 150,2012,150 cc,"51,000 km",Motorbikes,Used,,Anuradhapura City,https://ikman.lk/en/ad/bajaj-pulsar-150-2012-for-sale-anuradhapura-343
Yamaha Ray ZR 2026,"Rs 269,998",Yamaha,Ray ZR,2026,125 cc,0 km,Scooters,Brand New,,Kiribathgoda,https://ikman.lk/en/ad/yamaha-ray-zr-2026-for-sale-gampaha-24
Yamaha Ray ZR 2026,"Rs 270,000",Yamaha,Ray ZR,2026,125 cc,0 km,Scooters,Brand New,,Ja-Ela,https://ikman.lk/en/ad/yamaha-ray-zr-2026-for-sale-gampaha-22
Bajaj CT100 2024,"Rs 550,000",Bajaj,CT100,2024,100 cc,"6,714 km",Motorbikes,Used,,Colombo 10,https://ikman.lk/en/ad/bajaj-ct100-2024-for-sale-colombo-3085
Bajaj CT100 Brand New Blue 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,CT100 Brand New Blue,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala
Mahindra Gusto 110 2017,"Rs 218,000",Mahindra,Gusto,2017,110 cc,"41,277 km",Scooters,Used,110,Ja-Ela,https://ikman.lk/en/ad/mahindra-gusto-110-2017-for-sale-gampaha-10
Hero CD 100 2005,"Rs 220,000",Hero,CD 100,2005,100 cc,"60,000 km",Motorbikes,Used,2005,Nikaweratiya,https://ikman.lk/en/ad/hero-cd-100-honda-cd100-2005-for-sale-kurunegala-1
Bajaj Pulsar 135 2015,"Rs 340,000",Bajaj,Pulsar 135,2015,135 cc,"73,900 km",Motorbikes,Used,,Kalutara City,https://ikman.lk/en/ad/bajaj-pulsar-135-2015-for-sale-kalutara-474
Honda Dio 2019,"Rs 518,000",Honda,Dio,2019,100 cc,"32,738 km",Scooters,Used,,Maharagama,https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-4284
Honda Grazia 125 2018,"Rs 510,000",Honda,Grazia 125,2018,125 cc,"38,700 km",Scooters,Used,,Colombo 6,https://ikman.lk/en/ad/honda-grazia-125-2018-for-sale-colombo-110
Yamaha MT 15 2019,"Rs 1,149,000",Yamaha,MT 15,2019,155 cc,"25,300 km",Motorbikes,Used,,Rajagiriya,https://ikman.lk/en/ad/yamaha-mt-15-2019-for-sale-colombo-454
Honda CB Hornet 160R 2018,"Rs 675,000",Honda,CB Hornet 160R,2018,160 cc,"46,500 km",Motorbikes,Used,2018,Gampola,https://ikman.lk/en/ad/honda-cb-hornet-160r-2018-for-sale-kandy-7
Honda Super Cub 1994,"Rs 165,000",Honda,Super Cub,1994,50 cc,"112,000 km",Motorbikes,Used,,Kuliyapitiya,https://ikman.lk/en/ad/honda-super-cub-1994-for-sale-kurunegala
Bajaj Pulsar 150 2012,"Rs 100,000",Bajaj,Pulsar 150,2012,150 cc,"79,000 km",Motorbikes,Used,,Gampola,https://ikman.lk/en/ad/bajaj-pulsar-150-2012-for-sale-kandy-774
Bajaj Discover 125 2016,"Rs 378,000",Bajaj,Discover 125,2016,125 cc,"57,600 km",Motorbikes,Used,,Colombo 8,https://ikman.lk/en/ad/bajaj-discover-125-2016-for-sale-colombo-683
Honda Dream Yuga 2012,"Rs 380,000",Honda,Dream Yuga,2012,110 cc,"10,439 km",Motorbikes,Used,2012,Kandana,https://ikman.lk/en/ad/honda-dream-yuga-110-cc-2012-for-sale-gampaha
Hero Xoom Combat Brand New 2026,"Rs 215,970",Hero,Xoom Combat,2026,110 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-combat-brand-new-2026-for-sale-colombo
Honda Activa 110 2013,"Rs 287,000",Honda,Activa,2013,110 cc,"41,277 km",Scooters,Used,110,Ja-Ela,https://ikman.lk/en/ad/honda-activa-110-2013-for-sale-gampaha-7
Hero Xtreme 125R Brand new 2025,"Rs 233,000",Hero,Xtreme 125R,2025,125 cc,0 km,Motorbikes,Brand New,Brand new,Hanwella,https://ikman.lk/en/ad/hero-xtreme-125r-brand-new-2025-for-sale-colombo-38
Bajaj Discover 125 2010,"Rs 270,000",Bajaj,Discover 125,2010,150 cc,"67,079 km",Motorbikes,Used,,Chavakachcheri,https://ikman.lk/en/ad/bajaj-discover-125-2010-for-sale-jaffna
Hero Hunk 160R Brand new 2025,"Rs 273,000",Hero,Hunk 160R,2025,160 cc,0 km,Motorbikes,Brand New,Brand new,Hanwella,https://ikman.lk/en/ad/hero-hunk-160r-brand-new-2025-for-sale-colombo-50
Hero Xoom 110 Brand New 2026,"Rs 209,700",Hero,Xoom 110,2026,110 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-110-brand-new-2026-for-sale-colombo-6
Bajaj XCD 125 2009,"Rs 180,000",Bajaj,XCD,2009,125 cc,"50,000 km",Motorbikes,Used,125,Kandy City,https://ikman.lk/en/ad/bajaj-xcd-125-2009-for-sale-kandy-54
Bajaj Pulsar 180 2008,"Rs 220,000",Bajaj,Pulsar 180,2008,180 cc,"51,542 km",Motorbikes,Used,180,Negombo,https://ikman.lk/en/ad/bajaj-pulsar-180-palsar-180cc-2008-for-sale-gampaha
TVS Scooty Zest 2016,"Rs 345,000",TVS,Scooty Zest,2016,110 cc,"104,000 km",Scooters,Used,2016,Minuwangoda,https://ikman.lk/en/ad/tvs-scooty-zest-1st-owner-2016-for-sale-gampaha
Hero Dash 2017,"Rs 235,000",Hero,Dash,2017,110 cc,"25,000 km",Scooters,Used,2017,Delgoda,https://ikman.lk/en/ad/hero-dash-vx-2017-for-sale-gampaha-11
Yamaha FZ V1 2012,"Rs 515,000",Yamaha,FZ,2012,153 cc,"56,000 km",Motorbikes,Used,V1,Gampola,https://ikman.lk/en/ad/yamaha-fz-version1-2012-for-sale-kandy
Hero XOOM 125R Brand New 2026,"Rs 248,970",Hero,XOOM 125R,2026,125 cc,0 km,Scooters,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-xoom-125r-brand-new-2026-for-sale-colombo-6
Hero Hunk 160R Brand New 2026,"Rs 272,970",Hero,Hunk 160R,2026,160 cc,0 km,Motorbikes,Brand New,Brand New,Angoda,https://ikman.lk/en/ad/hero-hunk-160r-brand-new-2026-for-sale-colombo-4
Hero Xtreme 125R ABS Efi 2026,"Rs 233,070",Hero,Xtreme 125R,2026,125 cc,0 km,Motorbikes,Brand New,ABS Efi,Angoda,https://ikman.lk/en/ad/hero-xtreme-125r-abs-efi-2026-for-sale-colombo-1
TVS Raider 125 2026,"Rs 156,990",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Athurugiriya,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-350
Bajaj Pulsar NS200 brand new 2025,"Rs 515,000",Bajaj,Pulsar NS200,2025,200 cc,0 km,Motorbikes,Brand New,brand new bajaj,Colombo 9,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2025-for-sale-colombo-226
Bajaj Pulsar N160 brand new premium 2025,"Rs 463,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new premium ,Wellampitiya,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-premium-2025-for-sale-colombo-61
Bajaj Pulsar N160 premium brand new 2025,"Rs 458,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,premium brand new,Wellampitiya,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-brand-new-2025-for-sale-colombo-4
Bajaj Pulsar N160 brand new 2025,"Rs 408,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new bajaj,Kotte,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-512
Bajaj Pulsar N160 brand new 2025,"Rs 413,000",Bajaj,Pulsar N160,2025,160 cc,0 km,Motorbikes,Brand New,brand new bajaj,Colombo 3,https://ikman.lk/en/ad/bajaj-pulsar-n160-brand-new-2025-for-sale-colombo-511
Hero HF Deluxe Brand New 2026,"Rs 173,370",Hero,HF Deluxe,2026,100 cc,0 km,Motorbikes,Brand New,Brand New,Wellampitiya,https://ikman.lk/en/ad/hero-hf-deluxe-brand-new-2026-for-sale-colombo-1
Bajaj Pulsar N125 brand new 2025,"Rs 328,000",Bajaj,Pulsar N125,2025,125 cc,0 km,Motorbikes,Brand New,bajaj brand new,Rajagiriya,https://ikman.lk/en/ad/bajaj-pulsar-n125-brand-new-2025-for-sale-colombo-68
Bajaj Pulsar N125 brand new 2025,"Rs 328,000",Bajaj,Pulsar N125,2025,125 cc,0 km,Motorbikes,Brand New,brand new bajaj,Kolonnawa,https://ikman.lk/en/ad/bajaj-pulsar-n125-brand-new-2025-for-sale-colombo-69
Bajaj Discover 125 brand new 2025,"Rs 326,000",Bajaj,Discover 125,2025,125 cc,0 km,Motorbikes,Brand New,bajaj brand new,Kolonnawa,https://ikman.lk/en/ad/bajaj-discover-125-brand-new-2025-for-sale-colombo-1075
Bajaj Discover 125 brand new 2025,"Rs 331,000",Bajaj,Discover 125,2025,125 cc,0 km,Motorbikes,Brand New,brand new bajaj,Colombo 8,https://ikman.lk/en/ad/bajaj-discover-125-brand-new-2025-for-sale-colombo-1074
Bajaj CT100 brand new 2025,"Rs 259,000",Bajaj,CT100,2025,100 cc,0 km,Motorbikes,Brand New,brand new bajaj,Wellampitiya,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2025-for-sale-colombo-2075
Bajaj CT100 brand new 2025,"Rs 264,000",Bajaj,CT100,2025,100 cc,0 km,Motorbikes,Brand New,bajaj brand new,Colombo 9,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2025-for-sale-colombo-2074
Yamaha DT 1995,"Rs 175,000",Yamaha,DT,1995,125 cc,"100,000 km",Motorbikes,Used,,Mount Lavinia,https://ikman.lk/en/ad/yamaha-dt-1995-for-sale-colombo-12
Honda Jade 2012,"Rs 1,170,000",Honda,Jade,2012,250 cc,"65,000 km",Motorbikes,Used,jade,Kuliyapitiya,https://ikman.lk/en/ad/honda-jade-2012-for-sale-kurunegala-95
Bajaj Pulsar 135 2015,"Rs 360,000",Bajaj,Pulsar 135,2015,135 cc,"37,750 km",Motorbikes,Used,2015,Kamburupitiya,https://ikman.lk/en/ad/bajaj-pulsar-135-2015-2015-for-sale-matara
Honda PCX160 2025,"Rs 2,025,000",Honda,PCX160,2025,160 cc,0 km,Scooters,Brand New,,Kurunegala City,https://ikman.lk/en/ad/honda-pcx160-2025-for-sale-kurunegala-18
Honda Super Club 1990,"Rs 70,000",Honda,Super Club,1990,90 cc,"140,000 km",Motorbikes,Used,1990,Ragama,https://ikman.lk/en/ad/honda-super-club-1985-1990-for-sale-gampaha
Suzuki Choi Nori 2021,"Rs 110,000",Suzuki,Other Model,2021,48 cc,"25,000 km",Scooters,Used,Choi Nori,Hakmana,https://ikman.lk/en/ad/suzuki-choi-nori-2021-for-sale-matara
NWOW WSP Black 2026,"Rs 370,000",NWOW,WSP,2026,48 cc,"1,500 km",E-bikes,Used,Black,Negombo,https://ikman.lk/en/ad/nwow-wsp-black-2026-for-sale-gampaha
Honda Hornet Chassis 100 2010,"Rs 1,545,000",Honda,Hornet,2010,250 cc,"56,283 km",Motorbikes,Used,Chassis 100,Galagedara,https://ikman.lk/en/ad/honda-hornet-chassis-100-2010-for-sale-kandy
